Слово,Сумма_слов
первый,1610
например,1246
Рим,876
самый,855
равно,793
второй,772
нужно,591
Греция,569
вокруг,543
Египет,538
Россия,529
далее,507
полис,499
христос,460
среди,450
несколько,443
часто,412
сначала,410
Афины,383
Азия,376
назад,373
известно,359
наиболее,348
обычно,337
Индия,334
значит,323
одновременно,319
Москва,308
третий,278
необходимо,270
Италия,260
Африка,258
правильно,249
сенат,246
против,245
цезарь,232
постепенно,230
Америка,229
рядом,227
вместо,226
сегодня,222
особенно,213
именно,211
Китай,207
Куба,207
устно,206
Европа,205
быстро,205
Русь,204
твой,201
внутри,198
примерно,197
верно,186
провинция,179
пока,176
благодаря,175
Карфаген,169
постоянно,169
точно,168
сразу,165
просто,165
трудно,162
Вавилон,160
легко,157
Спарта,155
спартанец,153
раб-врач,153
достаточно,152
иной,150
долго,150
господь,149
вдоль,149
римско-парфянский,144
греко-македонский,142
римско-германский,142
легион,142
прежде,140
пусть,139
навстречу,139
справа,138
цитоплазма,136
Санкт-Петербург,136
Средиземноморье,134
корн,133
вслух,131
важно,131
полностью,129
делимость,129
сухой,128
однажды,128
Юпитер,126
снова,124
невозможно,124
стратегия,122
поровну,121
вновь,119
всякий,118
должность,117
причём,115
видно,115
слева,113
сенатор,111
Крит,109
наизусть,107
ассирийский,106
Антарктида,104
широко,104
голосеменной,103
фаросский,103
Македония,103
вскоре,103
соответственно,102
внимательно,102
действительно,102
ДНК,100
словно,100
значительно,100
половой,100
перикл,99
вверх,99
сильно,99
плебей,99
нередко,98
выше,98
разложение,98
впервые,98
немного,96
возможно,96
фактор,95
Эллада,94
следовательно,93
самостоятельно,93
вниз,92
далеко,92
инфинитив,92
воин-легионер,92
обязательно,91
столько,91
Австралия,90
бережно,89
аристократ,89
консул,88
вправо,87
сын-победитель,86
́целый,85
месть,85
хаммурапеть,83
нравственный,82
относительно,82
поскольку,81
удобно,81
вековечный,81
пол,80
интересно,80
тонколистовой,79
четвёртый,79
Финикия,79
едва,79
цинь,78
вначале,77
эллинистический,77
сверху,77
Палестина,76
пунический,76
Иерусалим,76
гракх,75
лингвистический,75
несовершенный,74
иначе,74
мембрана,73
взаимно,73
Испания,73
последовательно,72
домой,72
рука-луч,71
фаланга,70
Ассирия,70
ахеец,70
ноев,70
прямо,70
город-государство,69
чей,69
медленно,69
отсюда,69
иуда,69
давно,69
ниже,69
вперёд,68
тематический,68
согласно,68
карфагенянин,67
осирис,67
покрытосеменной,67
предназначить,67
Великое,66
этруск,66
первоначально,65
нацело,65
долой,65
Персия,65
завтра,64
впереди,64
Волга,64
Евразия,63
сверление,63
господний,63
обязать,63
слоевище,63
довольно,63
Сатурн,62
гораздо,61
специально,61
отдельно,61
практически,61
ахейский,60
враждебно,60
отрезка,60
подобно,59
Меркурий,59
наоборот,59
направо,59
Константинополь,59
рано,59
наружу,59
нацеживать,59
тесно,58
легионер,58
одинаково,58
пополам,58
греко-персидский,58
возничий,58
микротема,58
Марс,57
подряд,57
Байкал,57
ежегодно,57
наземно-воздушный,57
венед,57
ровно,56
населить,56
случайно,56
сквозь,55
шляпочный,55
должностной,55
несократимый,55
колонизация,55
бойня,55
особо,55
иерусалимский,54
слишком,54
гладиатор-победитель,54
Сицилия,54
мирно,54
сервие,54
писцовый,54
богобоязненный,54
обратно,54
деньги,54
порой,54
ранее,53
либо,53
гамета,53
тесеять,53
дворик-сад,53
главенство,53
буддийский,52
плохо,52
Сирия,52
откуда,52
кратко,52
ежедневно,52
неверно,52
строго,52
справедливо,52
спартак,51
Сибирь,51
ассириец,51
ясно,51
никакой,51
повсюду,51
Новгород,50
храбро,50
Александрия,50
десятый,50
бесполый,50
Франция,50
пешком,49
Евфрат,49
Гомера,49
порабощение,49
помимо,49
поддать,49
приблизительно,48
вакуоль,48
лингвистика,48
активно,48
агора,47
македонянин,47
вчера,47
демосфен,47
архангел,47
балканский,47
влево,46
холодное,46
высоко,46
предтеча,46
Хуанхэ,45
скоро,45
пятый,45
осторожно,45
недалеко,45
нод,45
Босфор,45
провозгласить,45
Варна,45
понятно,44
впоследствии,44
туда,44
плотно,44
ммина,44
тщательно,44
древнекитайский,44
северо-восток,44
красс,43
яйцеклетка,43
ради,43
жрец-брахман,43
вслед,43
Кносса,43
учёный-звездочёт,43
философия,42
поглотить,42
жертвенный,42
галл,42
вблизи,42
телохранитель,42
Пелопоннес,42
сюда,42
ограбить,42
тихо,42
Критский,41
изъявительный,41
микенский,41
совершенно,41
наряду,41
мороз,41
пятиклассник,41
уменьшительно-ласкательный,41
письменно,40
подробно,40
сонорный,40
возле,39
Венера,39
близко,39
источниковед,39
облачить,39
Олимп,39
дробило,39
Колон,39
покровный,38
свободно,38
везде,38
аттик,38
избираться,38
пленный,38
снизу,38
аргументировать,37
удачливый,37
графически,37
заострить,37
равновесный,37
долговой,37
неандерталец,37
снаружи,37
полмиллиона,37
безличный,37
формироваться,37
киево-печерский,37
баснописец,37
громко,37
родной,36
ярко,36
вероятно,36
гоплит,36
ибо,36
александрийский,36
благовещение,36
стратег,36
Альпы,36
бедственный,36
пелопоннесский,36
сомножитель,36
предать,36
аналогично,36
предварительно,36
редко,36
намного,35
девиз,35
филистимлянин,35
планета-гигант,35
интернет-ресурс,35
грозный,35
Пирей,35
издавна,35
служанка,35
зернотёрка,35
полезно,35
мораль,34
кладбище,34
полуплоскость,34
азимут,34
Урал,34
глубоко,34
Петербург,34
Лондон,34
дважды,34
праведный,34
путём,34
епископ,34
недавно,34
хань,34
торжественно,34
целиком,34
начертать,33
кроманьонец,33
притча,33
ночью,33
афоризм,33
назидательный,33
Олимпия,33
скиф,33
минус,33
сципион,33
зато,33
нерукотворный,33
тевтобургский,33
гадание,33
окуляр,33
Галла,33
Израиль,33
раздражимость,32
тубус,32
пигмент,32
Коринф,32
гунн,31
якобы,31
недостаточно,31
выжигание,31
хлоропласт,31
мессение,31
крушить,31
двадцатирукий,31
окончательно,31
навсегда,31
гладиаторский,31
Англия,31
влажно,31
Япония,31
Днепр,31
приручение,31
Киев,31
США,31
накануне,31
обрядовый,31
Камчатка,31
германец,31
убийца,30
неправильно,30
непосредственно,30
кругом,30
сзади,30
брахма,30
палестра,30
сократимый,30
спустя,30
попарно,30
успешно,30
пирожковый,30
короче,30
оплодотворение,30
илот,30
предводитель,30
калека,29
спорангий,29
симбиоз,29
Столбцы,29
отдалить,29
нетрудно,29
семенной,29
убийство,29
слитный,29
Германия,29
Синай,29
преимущественно,29
брак,29
черви,29
протиснуться,29
утром,29
веровать,28
заранее,28
вечно,28
амёба,28
формообразующий,28
астарт,28
вдали,28
морфология,28
ветхозаветный,28
вегетативный,28
самнит,28
этрусский,28
Кавказ,28
хлебопашество,28
Медведица,28
зимой,28
спорофит,28
сперматозоид,28
спокойно,28
единоличный,28
неожиданно,28
критянин,27
праотец,27
загробный,27
заговорщик,27
наделить,27
северо-восточный,27
охотно,27
седьмой,27
золотоносный,27
распад,27
порядочность,27
Тибр,27
узреть,27
бедро,27
благой,27
всюду,27
гаметофит,27
суждено,27
Дунай,27
точнее,27
Инд,27
италийский,26
богослов,26
поздно,26
трибун,26
Канны,26
карфагенский,26
наземь,26
жертвоприношение,26
налево,26
удивительно,26
Луга,26
колонный,26
открыто,26
условно,26
патриций,26
общинник,26
неолит,26
Фивы,25
неподалёку,25
роптать,25
похоже,25
вандал,25
сострадать,25
Париж,25
пластида,25
близ,25
высокообразованный,25
фланг,25
поочерёдно,25
муромец,25
учёный-жрец,25
аристократия,24
киянка,24
Вигасино,24
пирра,24
зигота,24
поперёк,24
исида,24
заново,24
пентамин,24
скорее,24
Иордан,24
Енисей,24
отделать,24
штатив,24
чётко,24
озон,24
недаром,24
неизвестно,24
