Слово,Сумма_слов,Нормализованная_частотность
художник,203,839.6431517
быть,2481,682.2100607
цвет,365,524.7769698
мастер,117,502.2865282
человек,1564,502.2865282
картина,182,434.8152035
разный,666,427.3183897
город,609,412.324762
форма,709,397.3311343
рассказать,297,389.8343204
нарисовать,184,382.3375066
узор,77,382.3375066
мочь,1151,359.847065
русский,350,352.3502511
изображение,123,337.3566234
красота,87,329.8598096
музей,136,329.8598096
сделать,784,322.3629957
бумага,220,314.8661819
игрушка,141,299.8725542
рассмотреть,388,299.8725542
работать,222,292.3757403
предмет,449,277.3821126
работа,539,277.3821126
композиция,43,262.3884849
костюм,87,262.3884849
рисунок,618,254.891671
искусство,80,247.3948572
дом,465,232.4012295
краска,77,232.4012295
природа,482,232.4012295
народный,99,224.9044156
земля,651,217.4076018
придумать,188,217.4076018
украшение,78,209.9107879
герой,91,202.4139741
гуашь,34,202.4139741
маска,32,202.4139741
мир,279,202.4139741
помогать,197,202.4139741
время,940,194.9171602
есть,806,194.9171602
образ,121,194.9171602
свет,183,194.9171602
делать,463,187.4203464
платок,45,187.4203464
произведение,242,187.4203464
пейзаж,39,179.9235325
праздник,142,179.9235325
белый,250,172.4267186
цветной,112,172.4267186
цветок,236,172.4267186
яркий,101,172.4267186
кисть,34,164.9299048
помощь,567,164.9299048
россия,336,164.9299048
акварель,23,157.4330909
парк,97,157.4330909
постройка,43,157.4330909
театр,80,157.4330909
кукла,88,149.9362771
натюрморт,21,149.9362771
птица,339,149.9362771
выбрать,242,142.4394632
дерево,558,142.4394632
народ,191,142.4394632
одежда,121,142.4394632
создать,82,142.4394632
видеть,223,134.9426494
книга,365,134.9426494
поверхность,202,134.9426494
скульптура,46,134.9426494
создавать,92,134.9426494
тень,53,134.9426494
бывать,200,127.4458355
выбор,151,127.4458355
оттенок,30,127.4458355
памятник,82,127.4458355
подумать,190,127.4458355
посмотреть,148,127.4458355
праздничный,33,127.4458355
родный,101,127.4458355
увидеть,234,127.4458355
улица,158,127.4458355
весёлый,93,119.9490217
внимание,160,119.9490217
зимний,87,119.9490217
использовать,587,119.9490217
красивый,215,119.9490217
орнамент,24,119.9490217
память,177,119.9490217
портрет,32,119.9490217
посуда,37,119.9490217
роспись,21,119.9490217
сказка,184,119.9490217
спектакль,46,119.9490217
фонарь,21,119.9490217
художественный,49,119.9490217
брат,119,112.4522078
деревянный,70,112.4522078
линия,161,112.4522078
материал,159,112.4522078
небо,152,112.4522078
открытка,57,112.4522078
приём,59,112.4522078
рисовать,100,112.4522078
смотреть,115,112.4522078
создание,57,112.4522078
украсить,33,112.4522078
украшать,43,112.4522078
элемент,195,112.4522078
вещь,100,104.955394
друг,695,104.955394
изба,22,104.955394
силуэт,15,104.955394
эскиз,34,104.955394
герб,25,97.4585801
день,682,97.4585801
жизнь,341,97.4585801
жить,421,97.4585801
изобразить,51,97.4585801
интересный,128,97.4585801
лицо,123,97.4585801
обратить,127,97.4585801
поднос,13,97.4585801
цветовой,15,97.4585801
шаль,14,97.4585801
выполнить,409,89.96176625
глаз,131,89.96176625
год,711,89.96176625
дворец,46,89.96176625
знать,482,89.96176625
изделие,164,89.96176625
лист,376,89.96176625
маленький,312,89.96176625
мастерство,19,89.96176625
место,466,89.96176625
назвать,473,89.96176625
нарядный,23,89.96176625
обои,18,89.96176625
передать,56,89.96176625
представление,57,89.96176625
старинный,70,89.96176625
традиция,21,89.96176625
характер,63,89.96176625
весенний,69,82.4649524
витрина,25,82.4649524
море,205,82.4649524
мотив,14,82.4649524
новый,508,82.4649524
палитра,24,82.4649524
плакат,15,82.4649524
похожий,200,82.4649524
разнообразный,66,82.4649524
село,96,82.4649524
символ,38,82.4649524
сцена,26,82.4649524
тонкий,76,82.4649524
традиционный,11,82.4649524
цирк,35,82.4649524
архитектура,18,74.96813854
букет,42,74.96813854
вид,406,74.96813854
вспомнить,262,74.96813854
вырезать,49,74.96813854
здание,66,74.96813854
зима,170,74.96813854
изображать,45,74.96813854
казаться,68,74.96813854
мазок,10,74.96813854
мелок,17,74.96813854
называться,291,74.96813854
настроение,39,74.96813854
передача,35,74.96813854
плод,97,74.96813854
понять,114,74.96813854
придумывать,25,74.96813854
решить,700,74.96813854
ритм,19,74.96813854
ткань,195,74.96813854
фантазия,13,74.96813854
фон,17,74.96813854
хотеть,192,74.96813854
большой,231,67.47132469
великий,119,67.47132469
говорить,294,67.47132469
деталь,200,67.47132469
иллюстрация,42,67.47132469
карандаш,167,67.47132469
карнавал,14,67.47132469
книжка,26,67.47132469
комната,98,67.47132469
машина,185,67.47132469
начать,128,67.47132469
помнить,110,67.47132469
пора,72,67.47132469
простой,146,67.47132469
ребёнок,217,67.47132469
русь,117,67.47132469
сказочный,32,67.47132469
страна,469,67.47132469
терем,25,67.47132469
вернисаж,8,59.97451083
выглядеть,52,59.97451083
выполнять,157,59.97451083
выставка,38,59.97451083
декорация,12,59.97451083
дело,131,59.97451083
должный,233,59.97451083
женский,94,59.97451083
зритель,17,59.97451083
играть,168,59.97451083
известный,130,59.97451083
колорит,9,59.97451083
композиционный,8,59.97451083
контур,22,59.97451083
любимый,40,59.97451083
майолика,8,59.97451083
называть,421,59.97451083
особый,93,59.97451083
получиться,309,59.97451083
полюбоваться,15,59.97451083
помочь,167,59.97451083
пятно,28,59.97451083
резной,15,59.97451083
рука,204,59.97451083
светлый,44,59.97451083
сирень,22,59.97451083
событие,72,59.97451083
спокойный,13,59.97451083
техника,47,59.97451083
тёмный,59,59.97451083
участник,30,59.97451083
фломастер,13,59.97451083
центр,75,59.97451083
чувство,89,59.97451083
чёрный,123,59.97451083
афиша,15,52.47769698
ветка,81,52.47769698
вода,1108,52.47769698
воздушный,49,52.47769698
выразительный,19,52.47769698
горизонт,47,52.47769698
добрый,74,52.47769698
древний,200,52.47769698
живой,181,52.47769698
золотой,141,52.47769698
иметь,334,52.47769698
история,157,52.47769698
китёж,8,52.47769698
крыша,51,52.47769698
любить,174,52.47769698
лёгкий,68,52.47769698
масленица,16,52.47769698
мех,15,52.47769698
мягкий,147,52.47769698
название,410,52.47769698
напоминать,47,52.47769698
нужный,270,52.47769698
объёмный,50,52.47769698
окружающий,94,52.47769698
отдельный,47,52.47769698
па,10,52.47769698
победа,49,52.47769698
поле,259,52.47769698
представить,143,52.47769698
причудливый,9,52.47769698
пропорция,7,52.47769698
простор,26,52.47769698
прошлый,49,52.47769698
ребята,246,52.47769698
сила,87,52.47769698
солнце,288,52.47769698
стена,98,52.47769698
театральный,15,52.47769698
участвовать,63,52.47769698
храм,59,52.47769698
аппликация,35,44.98088312
артист,13,44.98088312
белила,6,44.98088312
близкий,69,44.98088312
больший,306,44.98088312
видный,35,44.98088312
волшебный,44,44.98088312
главный,311,44.98088312
графический,41,44.98088312
женщина,36,44.98088312
жостовский,6,44.98088312
зелёный,219,44.98088312
змея,57,44.98088312
знак,369,44.98088312
игра,117,44.98088312
исторический,28,44.98088312
карнавальный,8,44.98088312
князь,51,44.98088312
конь,47,44.98088312
коробка,152,44.98088312
край,181,44.98088312
крестьянский,8,44.98088312
крупный,110,44.98088312
металлический,25,44.98088312
многий,106,44.98088312
найти,1503,44.98088312
наметить,13,44.98088312
новогодний,36,44.98088312
окно,142,44.98088312
орнаментальный,6,44.98088312
постараться,47,44.98088312
придавать,30,44.98088312
прийти,106,44.98088312
приходить,46,44.98088312
рассказ,206,44.98088312
родина,91,44.98088312
снег,253,44.98088312
становиться,102,44.98088312
старина,26,44.98088312
стать,438,44.98088312
стол,154,44.98088312
схема,201,44.98088312
транспорт,30,44.98088312
труд,112,44.98088312
удивительный,60,44.98088312
уметь,111,44.98088312
фигурка,21,44.98088312
цветочный,30,44.98088312
часть,1240,44.98088312
широкий,60,44.98088312
ажурный,10,37.48406927
битва,26,37.48406927
богородский,6,37.48406927
буква,712,37.48406927
весна,228,37.48406927
ветер,225,37.48406927
воин,35,37.48406927
высота,107,37.48406927
выявить,11,37.48406927
главное,60,37.48406927
глина,65,37.48406927
голова,89,37.48406927
головка,23,37.48406927
давний,20,37.48406927
декоративный,23,37.48406927
детский,83,37.48406927
дивный,10,37.48406927
зал,44,37.48406927
запомниться,13,37.48406927
