Слово,Сумма_слов,Нормализованная_частотность
абиотический,3,6.850253459
абиссинский,2,4.56683564
абрикос,9,6.850253459
абсолютно,10,6.850253459
авиация,11,2.28341782
Австралия,28,2.28341782
автомобиль,207,2.28341782
автотроф,3,6.850253459
автотрофный,2,4.56683564
агар-агар,1,2.28341782
агрессивный,7,2.28341782
агротехнический,1,2.28341782
ажурный,4,2.28341782
Азия,102,4.56683564
азолл,1,2.28341782
азот,15,6.850253459
азотистый,2,4.56683564
азотный,5,11.4170891
азотофиксировать,3,6.850253459
айва,1,2.28341782
академик,12,2.28341782
акация,4,4.56683564
аккуратно,9,2.28341782
активно,51,2.28341782
активный,66,9.133671279
алкоголь,4,2.28341782
алоэ,2,2.28341782
альгиновый,1,2.28341782
альгология,1,2.28341782
альпийский,4,2.28341782
Америка,77,11.4170891
аминокислота,1,2.28341782
анализировать,41,2.28341782
ананас,2,2.28341782
анаэроб,6,13.70050692
ангина,3,2.28341782
английский,138,2.28341782
англичанин,19,2.28341782
Англия,42,2.28341782
андийский,2,4.56683564
Антарктида,31,4.56683564
антибиотик,3,4.56683564
антисанитарный,1,2.28341782
антоновка,1,2.28341782
антропогенный,4,4.56683564
апельсин,28,2.28341782
арахис,5,9.133671279
арбуз,36,4.56683564
арктический,5,2.28341782
аромат,14,6.850253459
ароматный,8,2.28341782
артишок,1,2.28341782
архебактерия,2,4.56683564
асфальт,6,2.28341782
атмосфера,153,22.8341782
атмосферный,79,4.56683564
атомный,13,2.28341782
Африка,50,4.56683564
африканский,15,2.28341782
ацетон,2,2.28341782
аэроб,2,4.56683564
аэробный,1,2.28341782
бабочка,51,4.56683564
багровокрасный,1,2.28341782
багрянка,2,4.56683564
багульник,4,2.28341782
баклажан,10,6.850253459
бактериальный,11,25.11759602
бактериоз,1,2.28341782
бактерицидный,1,2.28341782
бактерия,194,317.395077
бактерия-паразит,3,4.56683564
бактерия-симбионт,1,2.28341782
бальзамин,2,4.56683564
бамбук,9,11.4170891
банан,10,13.70050692
бандероль,7,2.28341782
банк,144,29.68443166
банка,13,2.28341782
баночка,3,4.56683564
баньян,2,2.28341782
баобаб,3,4.56683564
баобабовый,1,2.28341782
барбарис,2,2.28341782
баренцев,9,2.28341782
бархатцы,1,2.28341782
батист,1,2.28341782
бацилла,3,6.850253459
бег,27,4.56683564
бедный,77,4.56683564
бедствие,23,2.28341782
бежать,227,6.850253459
безвестный,4,2.28341782
безветренный,13,2.28341782
безвредный,4,4.56683564
бездумно,1,2.28341782
безжизненный,5,4.56683564
беззащитный,4,2.28341782
безлесный,2,4.56683564
безлистный,2,2.28341782
безлисточковый,1,2.28341782
безлюдный,3,2.28341782
безостый,3,6.850253459
безусловно,6,4.56683564
белена,4,9.133671279
белка,46,27.40101384
белладонна,2,4.56683564
беловатый,2,2.28341782
беловежский,1,2.28341782
белок,53,9.133671279
белоснежный,6,2.28341782
белые,27,13.70050692
белый,302,36.53468512
Бельгия,1,2.28341782
бентосный,1,2.28341782
берег,361,15.98392474
бережно,14,4.56683564
берёза,140,38.81810294
берёзка,11,4.56683564
березняк,3,2.28341782
берёзовый,36,9.133671279
бересклетовый,1,2.28341782
беречь,56,4.56683564
бескислородный,1,2.28341782
бесполый,21,15.98392474
беспрепятственно,4,2.28341782
бесцветный,12,9.133671279
бинт,1,2.28341782
био,2,2.28341782
биогеоценоз,10,18.26734256
биолог,17,6.850253459
биологически,2,2.28341782
биологический,49,36.53468512
биология,39,25.11759602
биос,3,2.28341782
биосистема,2,4.56683564
биосфера,19,4.56683564
биотехнология,2,4.56683564
биотический,2,4.56683564
биоценоз,3,2.28341782
благодаря,170,105.0372197
благополучно,5,2.28341782
