Слово,Сумма_слов,Нормализованная_частотность
авария,7,"19,16606808"
автотроф,9,"45,26746533"
агар-агар,9,"43,59819402"
агротехнический,1,"4,220834037"
Азия,376,"947,3972077"
азолл,5,"23,97727921"
азот,64,"261,8477876"
азотный,2,"11,35961188"
азотфиксирующий,1,"4,220834037"
аист,14,"30,45651261"
аквакультура,1,"4,220834037"
аквариум,43,"108,3053511"
аккуратно,18,"60,56435275"
аккуратность,4,"13,67095783"
активно,48,"164,9303866"
активность,8,"36,34281618"
активный,43,"172,9639995"
акула,25,"77,70111444"
амазонии,2,"11,35961188"
амазонский,2,"6,681827294"
амёба,28,"97,28352763"
аммиак,4,"11,60381381"
анатомия,14,"34,02356046"
ангейон,2,"11,35961188"
ангина,4,"20,05718757"
англичанин,23,"61,88597487"
Антарктида,104,"419,9746842"
антибиотик,10,"48,18305029"
антимикробный,1,"4,220834037"
антоциан,2,"8,441668074"
аппарат,34,"112,1352723"
арбуз,78,"199,2110734"
Арктика,22,"92,37181401"
арцелла,1,"4,220834037"
асплениум,1,"4,220834037"
асфальт,10,"23,78631136"
атлас,"34,76","105,0538789"
атмосфера,264,"1056,457595"
атмосферный,15,"53,33955463"
атомный,25,"76,87804648"
Африка,258,"799,6486096"
ацетабулярия,1,"4,220834037"
багрянка,9,"52,57722535"
бактериальный,24,"115,7866598"
бактериология,4,"18,82236641"
бактерион,3,"15,53561114"
бактерия,688,"3266,503732"
бактерия-автотроф,2,"9,746917149"
бактерия-паразит,4,"22,71922376"
банк,87,"210,9008715"
баобаб,13,"45,428142"
барс,10,"25,01357403"
бацилла,5,"20,0032907"
бегать,62,"128,0241387"
безводный,6,"25,95945569"
безопасный,41,"153,9191512"
безошибочно,9,"24,80235779"
безъядерный,6,"31,35592192"
белка,91,"299,3838388"
белок,134,"450,5191935"
белые,12,"46,50429605"
белый,547,"1364,479607"
беляк,3,"7,232383328"
беннеттитовый,3,"12,66250211"
берег,488,"1263,742135"
берёза,211,"449,0043038"
берёзовый,46,"87,37038004"
бескислородный,3,"16,88569499"
бесплодный,8,"49,48550018"
беспозвоночный,28,"120,2110488"
бесполый,50,"210,7563962"
беспорядок,15,"29,58164843"
бесследно,3,"13,67142989"
бесцветно,4,"13,88230468"
бесцветный,19,"73,70827038"
биокосный,1,"4,220834037"
биолог,104,"399,8240848"
биологический,131,"401,375231"
биология,241,"780,3450048"
биомасса,4,"16,88333615"
биос,15,"68,4648936"
биосфера,84,"348,4045453"
