Слово,Сумма_слов,Нормализованная_частотность
’,1,"0,913684249"
≠,1,"0,913684249"
абонентский,2,"1,827368498"
абориген,5,"3,654736996"
абрикос,13,"5,482105494"
абсолютно,31,"3,654736996"
абсолютный,174,"1,827368498"
абсурд,1,"0,913684249"
абсцисса,123,"10,05052674"
аварийный,4,"0,913684249"
авиакомпания,3,"2,741052747"
авиамоделирование,2,"1,827368498"
авиарейс,5,"3,654736996"
австралийский,6,"1,827368498"
Австралия,30,"2,741052747"
австрийский,29,"0,913684249"
автобус,135,"24,66947472"
автовладелец,1,"0,913684249"
автовокзал,4,"2,741052747"
автоматически,27,"0,913684249"
автоматический,26,"1,827368498"
автомобилист,31,"23,75579047"
автомобиль,442,"57,56210769"
автомобильный,16,"8,223158241"
автопилот,1,"0,913684249"
автор,652,"2,741052747"
авторитетный,10,"0,913684249"
авторский,65,"0,913684249"
автосервис,1,"0,913684249"
Адамар,1,"0,913684249"
администратор,10,"4,568421245"
адрес,83,"0,913684249"
адресат,12,"0,913684249"
акробат,4,"0,913684249"
аксиома,39,"21,01473773"
аксиоматический,5,"4,568421245"
актёр,54,"1,827368498"
актовый,4,"1,827368498"
актриса,15,"1,827368498"
актуальный,11,"0,913684249"
акционер,2,"1,827368498"
акция,20,"4,568421245"
аламбер,1,"0,913684249"
алгебра,162,"10,05052674"
алгебраический,303,"42,9431597"
алгоритм,423,"103,2463201"
александрийский,8,"1,827368498"
алфавит,124,"27,41052747"
алфавитный,21,"1,827368498"
альбом,40,"10,96421099"
альпинист,7,"2,741052747"
алюминий,67,"1,827368498"
американский,63,"1,827368498"
анализ,84,"19,18736923"
анализировать,43,"5,482105494"
аналитически,15,"11,87789524"
аналитический,10,"1,827368498"
аналогично,99,"17,36000073"
аналогичный,97,"30,15158022"
аналогия,27,"2,741052747"
ананас,7,"3,654736996"
ананасовый,2,"0,913684249"
английский,345,"13,70526373"
антилопа,7,"1,827368498"
антипатия,2,"0,913684249"
апельсин,33,"1,827368498"
арабский,32,"5,482105494"
арбуз,21,"6,395789743"
аргумент,183,"10,05052674"
аренда,18,"4,568421245"
арендный,6,"1,827368498"
арендовать,10,"5,482105494"
арифметик,24,"6,395789743"
арифметика,47,"5,482105494"
арифметический,218,"53,90737069"
армия,358,"0,913684249"
арсенал,6,"0,913684249"
ассортимент,3,"2,741052747"
ассоциативный,2,"1,827368498"
Астрахань,63,"2,741052747"
астроном,25,"0,913684249"
астрономия,27,"0,913684249"
атлетика,3,"1,827368498"
Африка,73,"1,827368498"
аэробика,2,"1,827368498"
аэродинамика,5,"0,913684249"
аэропорт,10,"3,654736996"
бóльшать,3,"0,913684249"
бόльшать,1,"0,913684249"
бόльшея,1,"0,913684249"
бабушка,101,"7,309473992"
база,55,"5,482105494"
бак,73,"8,223158241"
баланс,12,"0,913684249"
балл,20,"8,223158241"
баловать,13,"0,913684249"
бан,1,"0,913684249"
банан,25,"6,395789743"
банановый,2,"0,913684249"
банк,156,"32,89263296"
банка,22,"12,79157949"
банкет,3,"0,913684249"
банковский,11,"0,913684249"
барабек,1,"0,913684249"
барон,13,"0,913684249"
барон-вассал,2,"1,827368498"
Барселона,1,"0,913684249"
баскетбол,10,"1,827368498"
баскетбольный,4,"2,741052747"
бассейн,109,"28,32421172"
батончик,3,"2,741052747"
башня,96,"3,654736996"
бег,44,"3,654736996"
бегать,53,"4,568421245"
бегун,18,"12,79157949"
бежать,213,"4,568421245"
беззубый,4,"0,913684249"
безопасность,81,"0,913684249"
безопасный,15,"0,913684249"
безусловно,11,"0,913684249"
безусловный,4,"0,913684249"
белые,31,"0,913684249"
белый,376,"8,223158241"
бензин,50,"12,79157949"
берег,278,"0,913684249"
берёза,112,"1,827368498"
бесконечно,88,"8,223158241"
бесконечность,5,"1,827368498"
бесконечный,72,"17,36000073"
биант,1,"0,913684249"
биатлон,1,"0,913684249"
биатлонист,1,"0,913684249"
библиотека,86,"2,741052747"
библиотекарь,4,"1,827368498"
бидон,26,"1,827368498"
биза,2,"1,827368498"
бизнесмен,4,"0,913684249"
бизнес-центр,1,"0,913684249"
билет,102,"59,38947618"
биолог,19,"6,395789743"
биология,77,"7,309473992"
бис,5,"0,913684249"
биссектриса,165,"0,913684249"
благодарность,20,"0,913684249"
благоприятный,93,"13,70526373"
благородство,9,"0,913684249"
благословенный,2,"0,913684249"
благотворительный,8,"0,913684249"
благоустроенный,2,"0,913684249"
блезть,5,"1,827368498"
близкий,291,"4,568421245"
блин,7,"3,654736996"
блок,227,"0,913684249"
блокнот,10,"3,654736996"
блок-схема,25,"1,827368498"
блуждать,5,"0,913684249"
блюдо,42,"7,309473992"
боб,1,"0,913684249"
бобина,1,"0,913684249"
бог,211,"0,913684249"
богатство,137,"0,913684249"
богатый,267,"0,913684249"
богатырь,42,"1,827368498"
боевик,5,"3,654736996"
божественный,54,"0,913684249"
боковой,121,"0,913684249"
боль,35,"0,913684249"
больница,14,"1,827368498"
больной,85,"4,568421245"
больший,1234,"134,3115846"
большинство,513,"0,913684249"
большой,2297,"319,7894871"
бортик,3,"1,827368498"
ботанический,15,"0,913684249"
боулинг,1,"0,913684249"
бояться,91,"0,913684249"
браковать,5,"1,827368498"
брат,317,"16,44631648"
брать,123,"1,827368498"
бригада,53,"20,10105348"
бритва,3,"0,913684249"
бродилка,1,"0,913684249"
бросание,48,"21,92842198"
бросать,72,"13,70526373"
бросок,6,"2,741052747"
брюки,16,"3,654736996"
Брянск,6,"0,913684249"
